area,balcony_garden,finish_condition,floor,form_of_ownership,listing_description,location,parking_space,price,price_per_m2,rent,rooms,title,url
,balkon,do remontu,4/6,spółdzielcze wł. prawo do lokalu,,"ul. Eugeniusza Horbaczewskiego, Gądów, Fabryczna, Wrocław, dolnośląskie","Miejsce parkingowe,tak",429000.0,12085.0,400.0,2 ,"Świetna inwestycja Gadów, rozkładowe!",https://www.otodom.pl/pl/oferta/swietna-inwestycja-gadow-rozkladowe-ID4rNpz
126.0,gazowe,Stan wykończenia,parter/1,pełna własność,"Biuro Rakowska Nieruchomości prezentuje Państwu nietuzinkowe mieszkanie  o pow. całkowitej 126 m2  z wyjątkowym klimatem, dla konesera przedwojennych kamienic perełka! LOKALIZACJA Mieszkanie położone w pięknej kamienicy przy ul. Jana Matejki, w Jeleniej Górze, co gwarantuje bliskość do lokalnych atrakcji oraz wygodny dostęp do centrum miasta. Do Rynku Jeleniogórskiego jest zaledwie 450 m, nieco ponad 200 od Filharmonii i 350 m od Parku Wzgórze Kościuszki. W okolicy znajduje się również dużo terenów zielonych oraz nowoczesne place zabaw dla najmłodszych. W sąsiedztwie wiele sklepów spożywczych, punktów usługowych, niedaleko przedszkola oraz szkoły podstawowe. KAMIENICA Stylowa przedwojenna willa posadowiona jest na działce o powierzchni 1286m2  - udział w działce wynosi 50 %. Podział mieszkań w poziomie. MIESZKANIE Lokal o powierzchni użytkowej  126 m 2 , usytuowany na : wysokim  parterze składa się z : - salonu  z wykuszem - trzech przestronnych pokoi w tym jeden  z werandą a drugi z tarasem - osobnego  w.c -przedpokoju sutenera : - duża kuchnia - łazienka z w.c - pomieszczenia gospodarcze Częściowo zachowana oryginalna stolarka okienna i drzwiowa (okna drewniane i PCV) W kuchni oraz łazience na podłogach kafle a w pokojach parkiet. Wysokie pomieszczenia ok.3.15 m dodają mieszkaniu więcej przestrzeni a duże okna w  werandzie lepsze nasłonecznienie. W jednym z pokoi znajduje się piękny i ozdobny przedwojenny kominek kaflowy. Ogrzewanie za pomocą pieca 2 funkcyjnego gazowego, elektryczne, na opał stały. Dodatkowo strych w częściach wspólnych. Idealna oferta  dla działalności gospodarczej typu kancelaria prawnicza, gabinety lekarskie  lub do zamieszkania na stałe.  Serdecznie polecam i zapraszam na prezentację.   ::oferta eksportowana z programu mediaRent::","Staniszów, Podgórzyn, karkonoski, dolnośląskie",,589000.0,4675.0,contact for details,4 ,"1/2 Willi z werandą, tarasem i ogrodem",https://www.otodom.pl/pl/oferta/1-2-willi-z-weranda-tarasem-i-ogrodem-ID4rNpB
52.84,Czynsz,parter/6,"ogródek, taras",pełna własność," mieszkanie numer  01_09  położone na parterze w inwestycji  Czysta 4 funkcjonalny, ustawny, nowy lokal o powierzchni  52,84 m kw.  inwestycja dla wymagających osób, które cenią nowoczesne rozwiązania Poznaj inwestycję - Czysta 4 Czysta 4  to nowoczesna  inwestycja klasy premium  zlokalizowana w centrum Wrocławia, oferująca wielowymiarowy komfort życia w mieście. W prostej formie łączy piękno nowoczesnej architektury z funkcjonalnością rozwiązań służących mieszkańcom. Czysta 4 powstaje w  topowej lokalizacji , która doskonale wpisuje się w  koncepcję 15-minutowego miasta . W sąsiedztwie inwestycji odnajdziemy m.in. Operę Wrocławską, Teatr Lalek, Galerię Renoma oraz zieloną Promenadę Staromiejską, a w zaledwie 10 minut spacerem można dojść do  wrocławskiego Rynku . Bliskość komunikacji miejskiej, punktów usługowych i placówek edukacyjnych oraz terenów rekreacyjnych czyni jej położenie wygodne i komfortowe. Starannie przemyślany projekt  odpowiada oczekiwaniom mieszkańców i doskonale komponuje się z charakterem centrum Wrocławia. W nowoczesnym  6-piętrowym budynku zaprojektowano 183 apartamenty  w rozkładzie 1-, 2-, 3- i 4-pokojowym z przynależnymi ogródkami, balkonami lub tarasami. Wejścia do budynku będą zlokalizowane od strony  wewnętrznego dziedzińca . W bryle wydzielono przestrzeń na 3 lokale usługowe, komórki lokatorskie, rowerownie oraz podziemną halę garażową. Projekt wzbogacają liczne udogodnienia dla mieszkańców, m.in.  taras widokowy  ze strefą rekreacji na dachu budynku,  przestrzeń coworkingową  dla osób pracujących zdalnie oraz rozwiązania typu  smart home . W inwestycji zaplanowano szereg przychylnych rozwiązań dla  korzystających z rowerów. Projekt przewiduje liczne rozwiązania ekologiczne tj.  panele fotowoltaiczne , system nawadniania roślinności oparty o  wykorzystanie wody opadowej , budki lęgowe dla ptaków oraz  zielone dachy  i dużą ilość miejsc rowerowych. Na uwagę zasługuje szacunek dla historii miejsca, uwzględniający  recykling materiałów  kamiennej elewacji odzyskanych z poprzedniego budynku oraz ochronę naturalnych walorów poprzez zachowanie większości drzew rosnących na terenie inwestycji. Ta inwestycja posiada mieszkania kwalifikujące się do rządowego programu “Bezpieczny kredyt 2%   Atuty projektu:   - Doskonała lokalizacja w centrum miasta - Taras widokowy na dachu - Wysoki standard wykończenia - Strefa coworkingowa - Rowerownia i warsztat dla rowerów - Komórki lokatorskie - Ponadczasowa architektura - Bezpieczeństwo (wideodomofony, kontrola dostępu, ochrona, monitoring) - Duże okna o podwyższonej izolacji akustycznej - Mieszkania wyposażone w system smart home - Drewniana stolarka okienna - Wysokość mieszkań 2,86 m (parter) i 2,69 m (pozostałe piętra) - Grzejniki kanałowe na 5. i 6. Piętrze - Wyprowadzenie pod klimatyzację na 5. i 6. Piętrze - Panele fotowoltaiczne do zasilania części wspólnych - Odzysk deszczówki do podlewania zieleni na terenie osiedla - Infrastruktura pod instalację ładowarek do samochodów elektrycznych","ul. Czysta, Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie",inne,1005860.0,19036.0,contact for details,do wykończenia,Czysta 4 | mieszkanie 1-pok. | 01_09,https://www.otodom.pl/pl/oferta/czysta-4-mieszkanie-1-pok-01-09-ID4qv2i
56.15,ogródek,do wykończenia,parter/3,pełna własność,"Przedmiotem ogłoszenia jest 3-pokojowe mieszkanie numer C04 położone na parterze w inwestycji  Apartamenty Żeromskiego . To wyjątkowy lokal o powierzchni 56,15 m kw. Cechą inwestycji jest wysoki standard i świetna lokalizacja","ul. Stefana Żeromskiego 57, Sośnica, Gliwice, śląskie",garaż/miejsce parkingowe,479000.0,8531.0,contact for details,3 ,Apartamenty Żeromskiego| C04,https://www.otodom.pl/pl/oferta/apartamenty-zeromskiego-c04-ID4mRBD
,400 zł,1/6,balkon,pełna własność,"  Oferujemy do sprzedaży, nowy lokal w pełni umeblowany, przestronny i ładnie doświetlony, zlokalizowany na Gaju w przy ul. Żegiestowskiej 9 (w pobliżu Armii Krajowej/Borowska/Orzechowa) we Wrocławiu. Lokal znajduje się na pierwszym piętrze w nowoczesnym budynku z windą.    W pełni umeblowany i wyposażony.   Lokal idealny dla inwestorów - VAT 23 %.       Lokalizacja:  ul. Żegiestowska 9, Wrocław (Armii Krajowej/Borowska/Orzechowa)   Powierzchnia:  32 mkw.   Piętro:  I       Lokal składa się z:   -  salonu  połączonego z aneksem kuchennym z meblami w zabudowie. W centralnym miejscu znajduje się stół z czterema krzesłami. W bocznej części salonu usytuowano elegancką sofę z funkcją spania, stolik kawowy oraz pojemną nowoczesną szafę. Do tego szafka rtv. Całości klimat dodają zasłony w kolorach naturalnych.   Łazienka:  wyposażona  w prysznic , wc, umywalkę z szafką z dwiema szufladami, pralkę.        Wyposażenie:   - aneks kuchenny: meble w zabudowie, lodówka z zamrażarką, piekarnik, zmywarka, płyta indukcyjna, pralka   - salon: stół, szafka rtv, sofa z funkcją spania   - aneks sypialniany: łóżko o wymiarach 140 x 200 cm, szafa trzydrzwiowa   - łazienka: kabina prysznicowa, umywalka, wc       Cena:   - lokal 9/30 – cena brutto 550 000 zł    - netto 447 154 ,47 zł   - VAT  23 % - 102 845,53 zł       Opłaty    do Administratora: ok 400 zł   Prąd: wg zużycia   Dostawca internetu: Moico ceny dostępne u operatora           W pobliżu:     1 min pieszo do Fitness Academy   3 min pieszo do sklepu Lidl   5 min pieszo do przystanku autobusowego   6 min pieszo do Parku Skowroniego   7 min pieszo do przedszkola   10 min pieszo do przystanku tramwajowego   12 min pieszo do Aquaparku   13 min autem do Rynku   15 min pieszo do Uniwersyteckiego Szpitala Klinicznego przy ul. Borowskiej     Zapraszam na prezentację   ☎️ 530 830 190   Niniejsze ogłoszenie może podlegać aktualizacji i nie stanowi oferty określonej w art. 66 i następnych KC.","Gaj, Krzyki, Wrocław, dolnośląskie","tak,miejskie",550000.0,17139.0,contact for details,do zamieszkania,"Lokal inwestycyjny umeblowany , gotowy - GAJ",https://www.otodom.pl/pl/oferta/lokal-inwestycyjny-umeblowany-gotowy-gaj-ID4rNpG
36.0,350 zł,4/5,balkon,pełna własność,"Na sprzedaż nowoczesna  kawalerka z 2019  na warszawskim Żeraniu.  Mieszkanie ma 36m2  i jest  usytuowane na 4 piętrze  w 5 piętrowym budynku. Mieszkanie to  jest świetną propozycją dla osób szukających lokalu gotowego do wejścia, wyposażonego we wszystkie potrzebne sprzęty. Mieszkanie jest jasne i przestronne z balkonem. Osiedle zadbane z dużą ilością zieleni. Mieszkanie: - Pokój dzienny 20,84 m2 - Kuchnia wyposażona w płytę indukcyjną, piekarnik, lodówkę i zmywarkę o powierzchni 5,52 m2 - Łazienka wyposażona w prysznic oraz pralkę 5,09 m2 - Hol z szafą w zabudowie 4,36 m2 - Balkon 3,74 m2 Pełna własność z księgą wieczystą( można posiłkować się kredytem) Lokalizacja: - 500 m do stacji SKM Warszawa Żerań - Z przystanku przy ul. Modlińskiej odjeżdża ponad 10 linii autobusowych (np. 518, 509, 186, 736), którymi dojedziesz do stacji metra Marymont, Śródmieścia i innych dzielnic Warszawy - Osiedle zlokalizowane tuż przy Kanale Żerańskim - W okolicy jest wszystko czego, tak naprawdę potrzeba - dwa duże supermarkety, żłobek, szkoła, piekarnia, apteka, fryzjer, przychodnia lekarska, liczne lokale gastronomiczne - 10 minut samochodem do Galerii Północnej, a w 15 do Arkadii Zapraszam na bezpłatną prezentację Grzegorz Gawron 533 384 347","ul. Krzyżówki, Żerań, Białołęka, Warszawa, mazowieckie",miejskie,580000.0,16111.0,contact for details,do zamieszkania,Duża 36m2 kawalerka z 2019 | ul Krzyżówki | Balkon,https://www.otodom.pl/pl/oferta/duza-36m2-kawalerka-z-2019-ul-krzyzowki-balkon-ID4rNpC
500.0,taras,do zamieszkania,parter,pełna własność,"Do sprzedaży lokal mieszkalny z garażem, wraz z pięknie zagospodarowaną, dużą działką ponad 500 m2 do wyłącznego użytku właścicieli. Salon z jadalnią, przy nim wejście do sypialni z wydzieloną osobną garderobą oraz dodatkowa sypialnia. Kuchnia osobno z nowoczesną zabudową. Łazienka razem z wc w nowoczesnej aranżacji, z oknem. Przedpokój z oknem, bezpośrednio przy nim pomieszczenie gospodarcze/kotłownia z zabudową na jednej ze ścian typu Komandor, wyjście do murowanej altany i na zadaszony taras, przygotowany do wypoczynku i relaksu. Na działce oczko wodne, przy nim duża altana na przyjemny wypoczynek w ogrodzie i grilla. Przy ścianie budynku druga altana, obecnie przeznaczona na sprzęt ogrodowy i gospodarczy. Wjazd, jak i ścieżki w kostce, wieloletnie nasadzenia, dużo pięknych kwiatów, szklarnia. Brama wjazdowa automatyczna, otwierana na pilota, garaż ok. 18 m2. Założona fotowoltaika na dachu zapewnia dostawę energii, a co się z tym wiąże brak rachunków energ. Świetna, niestandardowa nieruchomość, mieszkanie i dom w jednym, POLECAM.                                                                                                                                                                                                                                                                                                 ::DODATKOWE INFORMACJE  Rodzaj budynku: budynek wolnostojący Głośność: ciche Widok: na podwórko Gaz: jest Woda: ciepła - piecyk gazowy Dojazd: asfalt Otoczenie: działki zabudowane Ogrzewanie: C.O. GAZOWE Komunikacja publ.: autobus miejski Rodzaj mieszkania: jednopoziomowe Stan lokalu: bardzo dobry Okna: PCV Instalacje: dobre Tarasy: taras duży Powierzchnia użytkowa [m2]: 95 Liczba pokoi: 3 Liczba sypialni: 3 Powierzchnia pokoi [m2]: 20/16/14 Typ kuchni: jasna z oknem Rodzaj kuchni: z nowoczesną zabudową kuchenną Powierzchnia kuchni [m2]: 12 Typ łazienki: razem z wc Liczba łazienek: 1 Powierzchnia łazienki [m2]: 8 Glazura łazienki: nowego typu Podłoga łazienki: kafle Liczba przedpokoi: 2 Powierzchnia przedpokoi [m2]: 10 - Podobne oferty i więcej zdjęć na . Również zapraszamy do naszego biura: Gdańska 1, 85-005 Bydgoszcz‎, tel. 52 321-10-46. Wszelkie podane przez Pośrednika informacje nie są ofertą w rozumieniu Kodeksu Cywilnego.  ","Niemcz, Osielsko, bydgoski, kujawsko-pomorskie",gazowe,790000.0,8316.0,contact for details,3 ,"Mieszkanie, 95 m², Niemcz",https://www.otodom.pl/pl/oferta/mieszkanie-95-m-niemcz-ID4rNpI
45.0,balkon,Stan wykończenia,1/2,pełna własność,"Dwupokojowe  mieszkanie o powierzchni 45 m2 na Bronowicach (Widok/Zarzecze) z możliwością wydzielenia dodatkowego pokoju/kuchni Dokładna cena 797 300 zł W ofercie również mieszkanie w stanie do wejścia, 42 m2 za 820 tys. zł Mieszkanie składa się z salonu z aneksem kuchennym (możliwość wydzielenia ciemnej kuchni), sypialni, łazienki, przedpokoju .  Nieruchomość o dobrym układzie i zachodniej ekspozycji, balkon (5 m2), z całą pewnością spełni oczekiwania najbardziej wymagających nabywców. W budynku cichobieżna winda.  Istnieje możliwość wykupienia miejsca postojowego  zadaszonego w cenie  45.000 zł.  W ramach inwestycji zainstalowano ładowarkę do samochodów elektrycznych dostępną dla mieszkańców. Stan deweloperski   Budynek położony jest w spokojnej i zielonej okolicy Osiedla Widok/Zarzecze, która została zaprojektowana jako spójna całość z dostępem do infrastruktury usługowej. Bezpośrednio obok inwestycji duża ilość terenów zielonych na czele z bulwarami rzeki Rudawy oraz Parkiem Młynówka Królewska, co czyni inwestycję atrakcyjną dla rodzin z dziećmi oraz ludzi ceniących bliskość przyrody. Ogrzewanie i ciepła woda - centralne z kotłowni gazowej Miejsca postojowe zewnętrzne zadaszone w cenie 45 000 zł Budowa zakończona - w ofercie przykładowe zdjęcia podobnych mieszkań Serdecznie zapraszam na prezentację! W ofercie mamy również inne metraże i układy, na różnych kondygnacjach! (partery sprzedane) Dobra komunikacja - 14 minut pieszo pętla autobusowo tramwajowa Bronowice Małe (linie 4, 8, 24, 120, 218, 228, 230, 238, 248, 258, 268, 278, 664, 910, 918, 948), pętla autobusowa o tej samej nazwie 9 minut pieszo (linie 172, 572), 15 minut pieszo do ulicy Armii Krajowej (linie 173, 199, 310, 501, 511, 601, 611). Rozbudowana infrastruktura - szkoły, przedszkola, sklepy, ośrodki zdrowia, obiekty sportowe, sklepy itp. Do Parku Decjusza zaledwie 10 minut pieszo.   Zapraszam na prezentację: Łukasz Nowak FSK Development 728 849 160   ogłoszenie nie stanowi oferty w rozumieniu art. 66 § 1 kodeksu cywilnego, a tylko zaproszenie do zawarcia umowy zgodnie z art. 71 kodeksu cywilnego; Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Steffen Roehr (licencja nr: 18105)  ","Bronowice, Bronowice, Kraków, małopolskie",,797000.0,17695.0,contact for details,2 ,"Dwupokojowe mieszkanie, balkon - Bronowice",https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-balkon-bronowice-ID4rNpK
54.4,balkon,do zamieszkania,2/5,pełna własność,"Oferujemy do sprzedania piękne mieszkanie o powierzchni 54,4 m2, na którą składają się: - Salon z aneksem kuchennym ,o łącznej powierzchni 30 m2. Aneks wyposażony w meble wykonane na wymiar, płytę indukcyjną, zmywarkę 60 cm, lodówkę. Z salonu jest wyjście na balkon o pow. 7 m2. Ekspozycja na wschód. - W pełni wyposażona, wygodna sypialnia o powierzchni 13,5 m2. - Łazienka o pow. 5 m2, wyposażona w wannę, wc  umywalkę z dużą szafką, pralkę. - Przedpokój. Na podłogach w pokojach wysokiej klasy panele, w rejonie kuchni, przedpokoju i łazience gres polerowany. Mieszkanie wykończone i wyposażone w wysokim standardzie. W oferowanej cenie pozostaje pełne wyposażenie, aktualnie znajdujące się w mieszkaniu. Wokół nowoczesne budownictwo, infrastruktura oświatowa, medyczna, rekreacyjna. W pobliżu obiekty Kampusu UJ, Motoroli, Nokii, Jagiellońskiego Parku Technologicznego i wielu firm korporacyjnych.  Obecnie - w rejonie  ulicy Czerwone Maki - powstaje ogromne centrum handlowe ATUT 2. Do przystanku końcowego linii tramwajowych 11, 52, 73 oraz autobusowych przy ul. Czerwone Maki około 300 m. UWAGA - osobno do sprzedania miejsce parkingowe w garażu podziemnym, za cenę 40 tys. zł. Kontakt: Adam +48 510 131 177 ::DODATKOWE INFORMACJE  Rodzaj budynku: blok Dozór budynku: monitoring Głośność: umiarkowanie ciche Widok: na osiedle Gaz: brak Woda: ciepła - miejska Dojazd: asfalt Otoczenie: działki zabudowane Ogrzewanie: C.O. miejskie Komunikacja publ.: bus, autobus podmiejski, autobus miejski, tramwaj Winda: TAK Liczba wind: 1 Rozkład: jednostronne rozkładowe Usytuowanie: jednostronne Drzwi antywłamaniowe: TAK Opłaty w czynszu: wywóz nieczystości, woda ciepła, Winda, fundusz remontowy, Części wspólne, CO, administracja Opłaty wg liczników: woda, prąd, CO Rodzaj mieszkania: jednopoziomowe Garaż: garaż pod budynkiem Stan lokalu: bardzo dobry Okna: PCV Instalacje: dobre Balkon: duży Liczba balkonów: 1 Powierzchnia balkonów/tarasów [m2]: 7 Rok budowy: 2017 Liczba pokoi: 2 Wysokość pomieszczeń [m]: 2,5000 Liczba sypialni: 1 Powierzchnia pokoi [m2]: 30 / 13,5 Podłogi pokoi: panele Ściany pokoi: gładzie gipsowe Wystawa okien - pokoje : Wsch Typ kuchni: aneks kuchenny - połączony z salonem Rodzaj kuchni: z nowoczesną zabudową kuchenną Podłoga kuchni: gres Wystawa okien - kuchnia: Wsch Typ łazienki: razem z wc Liczba łazienek: 1 Powierzchnia łazienki [m2]: 5 Glazura łazienki: nowego typu Podłoga łazienki: gres Wyposażenie łazienki: wanna, natrysk Ściany łazienki: glazura Liczba WC: 1 Glazura WC: nowego typu Podłoga WC: gres Ściany WC: glazura Liczba przedpokoi: 1 Podłoga przedpokoi: gres Ściany przedpokoi: gładzie gipsowe ::KONTAKT DO AGENTA  Adam Kubala +48 510-131-177 ::DANE BIURA  Oddział BS1, Kapelanka Kapelanka 1A/1 30-347 Kraków 12 429-25-12","ul. dr. Jana Piltza, Kobierzyn, Dębniki, Kraków, małopolskie","garaż/miejsce parkingowe,miejskie",790000.0,14527.0,700.0,2 ,"ul. Piltza, Ruczaj, 2-pok,super lokalizacja",https://www.otodom.pl/pl/oferta/ul-piltza-ruczaj-2-pok-super-lokalizacja-ID4rNpM
75.0,Balkon / ogród / taras,do remontu,parter,pełna własność,"Na sprzedaż wyjątkowa, bardzo ciekawa opcja zakupu lokalu mieszkalnego podzielonego na dwie niezależne strefy z dwoma niezależnymi wejściami. Lokal znajduje się w centrum, tuż obok znanego 5 gwiazdkowego hotelu The Granary La Suite. Jest to propozycja zarówno pod cele mieszkaniowe, jak i usługowe. Obecnie, równocześnie spełnia te dwie funkcje. Całość można dostosować pod dwa niezależne lokale. Część mieszkalna: - wejście z klatki schodowej - kuchnia  - 5.75m2 - łazienka - 3.58m2 - pokój  - 10.03m2 - korytarz  - 8.85m2 Część usługowo/handlowa: - wejście bezpośrednio z ulicy - pomieszczenie 37.65m2 - możliwość podzielenia na 2-3 osobne pomieszczenia/pokoje Do lokalu przynależy również piwnica. Możliwość wynajęcia garażu w podwórku obok . Po szczegóły zapraszam do bezpośredniego kontaktu. Kontakt: Michał Myszak T: 669-982-516 Licencja; nr 29386   Jako agent JOT-BE NIERUCHOMOŚCI zapewniam Państwu uniknięcie niepotrzebnego ryzyka i przeprowadzenie korzystnej transakcji. Gwarantuję rynkowe ceny, bezpieczeństwo i obsługę własnego działu prawnego. Stosuję system jakości Polskiej Federacji Rynku Nieruchomości oraz Kartę Praw Klienta Pośrednika. Służę zaangażowaniem, ekspercką wiedzą i najwyższym poziomem usług opartym o 40-letnie doświadczenie biura JOT-BE NIERUCHOMOŚCI. Niniejsza oferta nie stanowi oferty w rozumieniu przepisów Kodeksu Cywilnego Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()","ul. Mennicza, Stare Miasto, Stare Miasto, Wrocław, dolnośląskie",,1099000.0,16687.0,contact for details,2 ,Mieszkanie pod inwestycję na Menniczej,https://www.otodom.pl/pl/oferta/mieszkanie-pod-inwestycje-na-menniczej-ID4rNpQ
54.7,balkon,do zamieszkania,5/10,pełna własność,"BIELSKO-BIAŁA OŚ. WOJSKA POLSKIEGO UL.PODCHORĄŻYCH TA OFERTA TYLKO W NASZYM BIURZE MIESZKANIE PRZESTRONNE I SŁONECZNE DO ZAMIESZKANIA. Prezentuję na sprzedaż widokowe 3-pokojowe mieszkanie o powierzchni 54,70m2 na piątym piętrze, bloku 10-piętrowego w świetnej lokalizacji na oś. Wojska Polskiego z bliskim dostępem do sklepów, szkoły, przystanków. ROZKŁAD POMIESZCZEŃ: Przedpokój, pokój dzienny z wyjściem na balkon, dwie jasne sypialnie, osobna widna kuchnia, łazienka. W dużym pokoju klimatyzacja. Dodatkowe zamykanie klatki schodowej dla czterech mieszkań. Korytarz i klatka schodowa po remoncie, nowe windy. OPŁATY: Czynsz do spółdzielni ok.750zł ( w tym zimna woda, CO, fundusz remontowy) + prąd i gaz wg zużycia. Do mieszkania przynależy piwnica.   AGENT PROWADZĄCY: RENATA AUGUSTYN TEL.514161151 ::DODATKOWE INFORMACJE  Rodzaj budynku: blok Widok: góry Gaz: tak - miejski Woda: tak - ciepła piecyk gazowy Dojazd: asfalt Ogrzewanie: miejskie Komunikacja publ.: autobus miejski Winda: TAK Liczba wind: 2 Rozkład: dwustronne rozkładowe Usytuowanie: dwustronne Opłaty w czynszu: koszty utrzymania nieruchomości wspólnej, utrzymanie i konserwacja nieruchomości, zimna woda-kanaliz., podatek od nieruchomości, woda ciepła, sprzątanie, administracja, wywóz śmieci, CO Opłaty wg liczników: gaz, prąd Rodzaj mieszkania: jednopoziomowe Piwnica: TAK Stan lokalu: Do wprowadzenia Okna: PCV Balkon: duży Powierzchnia użytkowa [m2]: 54,8000 Liczba pokoi: 3 Liczba sypialni: 2 Podłogi pokoi: mozaika Ściany pokoi: tapety Typ kuchni: oddzielna widna Rodzaj kuchni: z zabudową kuchenną Podłoga kuchni: płytki Typ łazienki: razem z wc Liczba przedpokoi: 1 ::LINK DO STRONY  ::KONTAKT DO AGENTA  Renata Augustyn BBN EFEKT Nieruchomości 33-822 10 32 514 161 151 ::DANE BIURA  Bielskie Biuro Nieruchomości EFEKT- Krzysztof Filipek Cieszyńska 132 43-300 Bielsko-Biała 519 117 067 Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Paweł Walaszek (licencja nr: 14352) - Jako biuro nieruchomości pobieramy za usługę pośrednictwa wynagrodzenie w formie prowizji.","Osiedle Wojska Polskiego, Bielsko-Biała, śląskie","Miejsce parkingowe,miejskie",417000.0,7609.0,750.0,3 ,"Mieszkanie, 54,80 m², Bielsko-Biała",https://www.otodom.pl/pl/oferta/mieszkanie-54-80-m-bielsko-biala-ID4rNpV
10.0,balkon,do wykończenia,3/7,pełna własność,"  Inwestycja Wyspa Solna.   Budynek A 3.5 [ 3piętro ] widok na kanał drzewny. Balkon 10m2.  Ekspozycja Południowa.   Prestiżowa lokalizacja.   Do morza 1700 m.   W inwestycji basen, jacuzzi, sauna, siłownia, rowerownia.  ","Kołobrzeg, kołobrzeski, zachodniopomorskie","garaż/miejsce parkingowe,tak",569000.0,14225.0,500.0,2 ,"2 pokoje Wyspa Solna widok na kanał drzewny,Cesja",https://www.otodom.pl/pl/oferta/2-pokoje-wyspa-solna-widok-na-kanal-drzewny-cesja-ID4rNuJ
38.0,balkon,do zamieszkania,3/4,pełna własność,"Mieszkanie własnościowe, w pełni wyposażone i wykończone po kapitalnym remoncie.   Blok po pełnej modernizacji cieplnej z wymienionymi oknami i pionami wodnymi.     Mieszkanie, składa się z następujących pomieszczeń:     sypialnia  z szafą na ubrania i miejscem na toaletkę,   pokój dzienny z aneksem kuchennym  wykonaną na wymiar,   garderoba  w pełni zabudowana,   łazienka  powiększona o dodatkowe miejsce na wannę, bidet i pralkę.       W pełni wyposażone:     piekarnik z funkcja mikrofali,   pralka,   lodówka,   płyta indukcyjna,   łóżko,   kanapa,   pozostałe małe AGD, żelazko, odkurzacz.     W cenie komórka lokatorska około 6m2 (warta około 20 tys)     Blisko szkoła, przedszkole, placówki pocztowe i paczkomaty, Auchan i komunikacja miejska. Do Centrum około 25 min.     Mieszkanie po kapitalnym remoncie w roku 2010, gdzie były wyburzane wszystkie możliwe ściany i zrywane tynki. Wymieniona została cała elektryka i hydraulika. Następnie wykonany gres na całej powierzchni, oraz zabudowa szaf i kuchnia na wymiar.     Agencjom i pośrednikom dziękuję.","ul. Jana Kochanowskiego, Piaski, Bielany, Warszawa, mazowieckie","Miejsce parkingowe,miejskie",830000.0,21842.0,770.0,2 ,"38m2 - w pełni urządzone, gotowe do zamieszkania",https://www.otodom.pl/pl/oferta/38m2-w-pelni-urzadzone-gotowe-do-zamieszkania-ID4ruGg
